domain,profile,scene_count,minimum_zeta_q01,minimum_zeta_q05,minimum_zeta_q25,minimum_zeta_q50,minimum_zeta_q75,minimum_zeta_q95,minimum_zeta_q99
controlled_stress,All,1200,0.37239705932660455,0.5569929041019615,0.7837557007690824,0.7986938323738951,0.8022828711951632,0.8142993164272401,0.8280324556983731
CDL,A,3000,0.006629639708523104,0.014999957270067032,0.05364269296341587,0.11126159682928054,0.2418249363315431,0.4450165886317566,0.6678738183785545
CDL,C,3000,0.007446761074926977,0.016658515893686526,0.06371738788888107,0.16475143703584824,0.2922280375398284,0.6374961184045113,0.7928771601832989
CDL,D,3000,0.02549671378134483,0.06464607605212672,0.16311395265708134,0.30484555962795495,0.5119560056593127,0.7167367043975028,0.80086513528975
CDL,All,9000,0.008170361523156117,0.020100370564651825,0.07994128741827834,0.19173668588170378,0.3481694311624569,0.6595764297071659,0.7822155153664905
