domain,profile,zeta_bin,zeta_low,zeta_high,scene_count,beneficial_probability,mean_clean_gain_db,median_coordinate_error_bins,mean_clipping_rate
controlled_stress,All,1,0.17517263402483854,0.675834763530383,120,1.0,9.452352668408293,0.1268536409995676,0.0875
controlled_stress,All,2,0.675834763530383,0.7662869024507994,120,1.0,9.40137981482393,2.326910943264916,0.10625
controlled_stress,All,3,0.7662869024507994,0.7913404791558376,120,1.0,10.321042444226444,3.2913646492665416,0.12083333333333333
controlled_stress,All,4,0.7913404791558376,0.7971288205025717,120,1.0,9.998868209989743,3.7590662427199915,0.13472222222222224
controlled_stress,All,5,0.7971288205025717,0.7986938323738951,120,1.0,10.928167180458285,2.7608724091227357,0.13472222222222222
controlled_stress,All,6,0.7986938323738951,0.7999594224158076,120,1.0,10.649227936011942,3.172196852438511,0.125
controlled_stress,All,7,0.7999594224158076,0.8013697239638414,120,1.0,11.741290666385185,3.0117292247865906,0.12361111111111113
controlled_stress,All,8,0.8013697239638414,0.8037292965521049,120,1.0,11.462348358222293,2.7644572503084923,0.11875
controlled_stress,All,9,0.8037292965521049,0.8093477838602409,120,1.0,11.025801518039911,3.0304290458439187,0.12222222222222223
controlled_stress,All,10,0.8093477838602409,0.8514805864883696,120,1.0,9.611891090399922,3.4020737148155744,0.13541666666666666
CDL,A,1,0.0015840435044874317,0.02547204212804266,300,1.0,13.485175153900334,1.236090621270836,0.5172916666666667
CDL,A,2,0.02547204212804266,0.04349510870767475,300,1.0,11.604902120251207,1.265170079545975,0.5017708333333334
CDL,A,3,0.04349510870767475,0.0633432456560333,300,1.0,10.102110357572366,1.2413369189057524,0.4663541666666667
CDL,A,4,0.0633432456560333,0.08728641430373957,299,1.0,10.030847191582378,1.1802331097164935,0.4569397993311037
CDL,A,5,0.08728641430373957,0.11126159682928054,300,1.0,10.17975252430774,1.1203514706969773,0.4396875
CDL,A,6,0.11126159682928054,0.16020581234978618,301,1.0,9.552231396887768,0.9641300661801466,0.4273255813953488
CDL,A,7,0.16020581234978618,0.21663899469616374,300,1.0,7.837193547120784,0.821375761955917,0.3709375
CDL,A,8,0.21663899469616374,0.2768097137960295,300,1.0,7.59970017320482,0.5767246870248125,0.36385416666666665
CDL,A,9,0.2768097137960295,0.3943769183034599,300,1.0,10.536945323659674,0.5036546715186856,0.3584375
CDL,A,10,0.3943769183034599,0.7894500173090204,300,1.0,11.306512792207805,0.4564193371539217,0.37145833333333333
CDL,C,1,0.0008847998286124571,0.025900239140287804,300,0.9366666666666666,5.993555136943479,1.2703018835436033,0.47822916666666665
CDL,C,2,0.025900239140287804,0.05045422300733253,300,0.9566666666666667,5.420063899302807,1.1295236268448936,0.4822916666666667
CDL,C,3,0.05045422300733253,0.0784656993504999,300,0.96,5.069091313455134,0.9788069286762349,0.4430208333333333
CDL,C,4,0.0784656993504999,0.11107620115572932,300,0.9533333333333334,4.804197780983777,0.8135350175107481,0.4064583333333333
CDL,C,5,0.11107620115572932,0.16475143703584824,300,0.9233333333333333,3.799405274425253,0.700928929408968,0.39166666666666666
CDL,C,6,0.16475143703584824,0.22540066021255087,300,0.9566666666666667,3.785278223191479,0.6273600294202619,0.3553125
CDL,C,7,0.22540066021255087,0.2725677935264747,300,0.9866666666666667,4.836123659421526,0.556308376107336,0.36604166666666665
CDL,C,8,0.2725677935264747,0.31563910455225386,300,0.9933333333333333,5.635172811911815,0.5412753303361788,0.34260416666666665
CDL,C,9,0.31563910455225386,0.45084214137204315,300,0.9933333333333333,4.796965506178431,0.4238425253605871,0.30833333333333335
CDL,C,10,0.45084214137204315,0.8674298051019447,300,0.9933333333333333,4.934004711870198,0.3449129158603627,0.294375
CDL,D,1,0.0012632636211820098,0.09161368561924714,299,0.4214046822742475,-0.634728753196533,0.7616571236630896,0.4205685618729097
CDL,D,2,0.09161368561924714,0.13535023258947607,301,0.53156146179402,0.22308253745160542,0.8886591608582827,0.3955564784053156
CDL,D,3,0.13535023258947607,0.18630247706022363,299,0.5117056856187291,-0.01972791023362205,0.9166781937997481,0.37259615384615385
CDL,D,4,0.18630247706022363,0.24205373131382393,301,0.48172757475083056,-0.1154701784581311,1.0024413314375344,0.3504983388704319
CDL,D,5,0.24205373131382393,0.30484555962795495,298,0.5637583892617449,0.20373062591179958,1.3400736031776737,0.2627936241610738
CDL,D,6,0.30484555962795495,0.37998108737778186,301,0.53156146179402,0.18173653036122522,1.7683161536581224,0.22041112956810632
CDL,D,7,0.37998108737778186,0.46647519719514474,301,0.4717607973421927,0.06732883076687755,4.030120031345135,0.18127076411960133
CDL,D,8,0.46647519719514474,0.5568504038199139,300,0.5666666666666667,0.4473823672108271,1.3741369800250616,0.19072916666666667
CDL,D,9,0.5568504038199139,0.6550961675912821,300,0.67,0.9433360127104826,0.6845695097487844,0.20083333333333334
CDL,D,10,0.6550961675912821,0.9088063073850573,300,0.8066666666666666,1.5433159045047768,0.4363686557823386,0.2275
CDL,All,1,0.0008847998286124571,0.03389991907354096,899,0.9432703003337041,9.04918625583933,1.2457950706079868,0.4950987208008899
CDL,All,2,0.03389991907354096,0.06372402840700334,900,0.9333333333333333,7.237697568832405,1.155545057888936,0.465
CDL,All,3,0.06372402840700334,0.09467372918670071,901,0.8668146503884573,6.192290194091673,0.9765836000793765,0.43465593784683687
CDL,All,4,0.09467372918670071,0.1340785550501912,900,0.8344444444444444,5.264308761657809,0.9547828397072202,0.41458333333333336
CDL,All,5,0.1340785550501912,0.19173668588170378,900,0.7944444444444444,3.889366911533409,0.8478461250996188,0.37777777777777777
CDL,All,6,0.19173668588170378,0.24508405424464727,900,0.83,4.176983176214187,0.7157977078686565,0.35899305555555555
CDL,All,7,0.24508405424464727,0.30469546010438897,900,0.8577777777777778,4.171356071786631,0.6626436102754879,0.32354166666666667
CDL,All,8,0.30469546010438897,0.3974262913243275,900,0.81,4.852560243920453,0.607427839998486,0.2902430555555556
CDL,All,9,0.3974262913243275,0.5500212394639261,900,0.7244444444444444,3.8080308231197066,0.6359194848083414,0.24993055555555554
CDL,All,10,0.5500212394639261,0.9088063073850573,900,0.8088888888888889,2.7446048963612957,0.4307949408223051,0.24506944444444445
