snr_db,l_value,n_users,n_tx,mean_grid_channel_nmse_db,mean_source_alpha_channel_nmse_db,mean_source_alpha_gain_vs_grid_db,mean_bounded_refine_channel_nmse_db,mean_bounded_gain_vs_grid_db,mean_oracle_alpha_channel_nmse_db,mean_oracle_alpha_gain_vs_grid_db,mean_source_alpha_gap_vs_oracle_db,mean_oracle_alpha,mean_support_recall,mean_dominant_energy_recall,mean_delay_bin_rmse,mean_tx_bin_rmse
0.0,4.0,100.0,8.0,-2.2799530657132316,-3.146781833113155,0.8668287673999238,-3.2077630121143743,0.9278099464011416,-3.3315505184676066,1.0515974527543748,0.1847686853544511,0.8059999999999999,0.84,0.4011528620786338,0.250584068075136,0.5145216390374332
0.0,8.0,100.0,8.0,-3.9191743344941155,-5.088318413508845,1.1691440790147305,-5.085225804348777,1.1660514698546625,-5.314939281955315,1.3957649474612008,0.22662086844647056,0.7760000000000001,0.84125,0.5902691341653664,0.47036215979174534,0.5217097837773172
0.0,16.0,100.0,8.0,-5.7799156806823255,-7.2033083512911,1.4233926706087752,-7.002997325671597,1.223081644989269,-7.352183983533893,1.5722683028515663,0.1488756322427916,0.6619999999999999,0.836875,0.7648200684886884,1.7391960018831258,0.5541397564937649
10.0,4.0,100.0,8.0,-2.3936440226765447,-3.405556479768508,1.0119124570919629,-3.5098161311516662,1.1161721084751222,-3.6161494487176555,1.2225054260411123,0.21059296894914914,0.8140000000000001,0.9325,0.4106013459926715,0.09707106781186547,0.24418029436830893
10.0,8.0,100.0,8.0,-4.254584168826683,-5.629392402653562,1.3748082338268799,-5.621851143215534,1.367266974388851,-5.82289884578079,1.5683146769541059,0.19350644312722584,0.7619999999999999,0.945,0.6046399318576596,0.1786643470841212,0.21384666362285693
10.0,16.0,100.0,8.0,-6.9709375415542185,-8.844755119378355,1.8738175778241373,-8.56510892900918,1.5941713874549603,-9.011380974344869,2.040443432790651,0.166625854966514,0.69,0.9475,0.7871428217567218,0.28152203117545466,0.24973075649660992
20.0,4.0,100.0,8.0,-2.4077960436913117,-3.3773239104593777,0.9695278667680662,-3.4651366808902155,1.0573406371989038,-3.5832434632343007,1.1754474195429894,0.20591955277492302,0.7939999999999999,0.9725,0.4117554308026874,0.05618033988749895,0.08906279600020632
20.0,8.0,100.0,8.0,-4.289006032165316,-5.666795100088378,1.3777890679230618,-5.687474798647779,1.3984687664824622,-5.8855932176938515,1.596587185528535,0.21879811760547369,0.752,0.98,0.6061192934441663,0.06240316883347928,0.08302177356683708
20.0,16.0,100.0,8.0,-7.08532948672192,-8.985290056101933,1.8999605693800106,-8.689160547409724,1.603831060687805,-9.140667365278556,2.0553378785566347,0.1553773091766244,0.65,0.98625,0.7893277823981966,0.08839820886069782,0.07366208571880267
30.0,4.0,100.0,8.0,-2.4090274789723254,-3.399257779475529,0.9902303005032036,-3.4938678315924467,1.0848403526201218,-3.6067294601020996,1.1977019811297742,0.20747168062657045,0.8100000000000002,0.9925,0.4118692085809943,0.016180339887498948,0.025
30.0,8.0,100.0,8.0,-4.2923323764032775,-5.662431042553449,1.370098666150171,-5.6726678158027655,1.3803354393994898,-5.8747757951881745,1.5824434187848997,0.21234475263472816,0.7560000000000001,0.9925,0.6062650881525067,0.01851229586821916,0.034118897586017376
30.0,16.0,100.0,8.0,-7.095647287612137,-8.997608515205469,1.9019612275933337,-8.687290775681534,1.5916434880694004,-9.172160615639715,2.076513328027578,0.17455210043424352,0.6739999999999999,0.995,0.7894591675865663,0.022159258262890683,0.03648938528181287
