seed,snr_db,l_value,delay_alpha,angle_alpha,grid_nmse_db,axiswise_nmse_db,gain_vs_grid_db
20260624.0,0.0,4.0,0.6400798140792959,0.6413132123008031,-6.019807734182219,-10.963479504649815,4.943671770467596
20260624.0,0.0,8.0,0.6400798140792959,0.6413132123008031,-6.6375810635180095,-8.442161957775374,1.8045808942573647
20260624.0,0.0,16.0,0.6400798140792959,0.6413132123008031,-4.433074154070332,-5.53962130355133,1.1065471494809982
20260624.0,10.0,4.0,0.6400798140792959,0.6413132123008031,-4.885726311213455,-11.51168692625653,6.625960615043075
20260624.0,10.0,8.0,0.6400798140792959,0.6413132123008031,-8.26295318806222,-11.777315570242994,3.5143623821807743
20260624.0,10.0,16.0,0.6400798140792959,0.6413132123008031,-8.160978994179725,-10.505182348725704,2.3442033545459786
20260624.0,20.0,4.0,0.6400798140792959,0.6413132123008031,-7.05352901451871,-10.79688349941651,3.7433544848977993
20260624.0,20.0,8.0,0.6400798140792959,0.6413132123008031,-6.359901900397134,-10.860798117369349,4.500896216972214
20260624.0,20.0,16.0,0.6400798140792959,0.6413132123008031,-8.040494713435177,-13.257250409188556,5.216755695753379
20260624.0,30.0,4.0,0.6400798140792959,0.6413132123008031,-7.69122447786126,-13.916673361362008,6.225448883500748
20260624.0,30.0,8.0,0.6400798140792959,0.6413132123008031,-9.797943568122777,-12.229730303481691,2.431786735358914
20260624.0,30.0,16.0,0.6400798140792959,0.6413132123008031,-7.213357143884837,-12.97801937919785,5.764662235313013
