num_targets,local_kruskal_bound,bound_ratio,detection_probability,exact_support_rate,nmse_db,avg_runtime_s,residual_energy_db
2,31,0.0645161290322581,0.916666666666667,0.833333333333333,-57.361556109964,0.00663415,-20.0486249363869
4,31,0.129032258064516,0.916666666666667,0.666666666666667,-53.02663623113,0.00890118333333333,-20.0321760865719
8,31,0.258064516129032,0.979166666666667,0.833333333333333,-50.9003052832207,0.0149968,-20.022343293362
16,31,0.516129032258065,0.9375,0.166666666666667,-47.5153402376179,0.0458754333333333,-20.0581932108731
24,31,0.774193548387097,0.972222222222222,0.666666666666667,-45.4677567530173,0.0891760166666666,-20.071153982319
32,31,1.03225806451613,0.927083333333333,0.166666666666667,-40.5977754120651,0.115839766666667,-19.8148531078249
