profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,topk_energy_efficiency,clean_topk_energy_fraction,effective_support_95,effective_support_99,delay_support_recall,angle_support_recall,delay_bin_rmse,angle_bin_rmse,physical_delay_rmse_ns,projected_broadside_angle_rmse_deg,matched_physical_paths,clean_grid_physical_delay_rmse_ns,clean_grid_projected_broadside_angle_rmse_deg,physical_delay_rmse_gap_vs_clean_grid_ns,projected_angle_rmse_gap_vs_clean_grid_deg,physical_truth_path_count,noise_variance
A,20260626.0,0.0,0.0,4.0,-2.9262343083119657,0.75,0.4916086031795455,0.9771267571032245,0.5031165093021924,65.0,294.0,0.75,0.75,0.5,0.7071067811865476,66.44836011495775,21.27609634767169,4.0,68.30788979660785,22.037556396301984,-1.859529681650102,-0.761460048630294,23.0,1.0000000176969142
A,20260626.0,1.0,0.0,4.0,-4.164102137676341,0.75,0.6189636954041577,0.9967304644901913,0.6209940575266212,49.0,211.0,1.0,0.75,0.0,0.7071067811865476,97.6395446666441,23.619198487203363,4.0,68.30788979660785,23.644751843555806,29.331654870036246,-0.025553356352443046,23.0,0.9999999956993092
A,20260626.0,2.0,0.0,4.0,-5.908427748110631,0.75,0.7454893069646077,0.9885131725808124,0.7541521222405996,24.0,115.0,1.0,0.75,0.0,0.5,66.44836011495775,18.441728843870393,4.0,66.95104033066255,18.839132158596858,-0.5026802157047996,-0.3974033147264642,23.0,0.9999998260097842
A,20260626.0,3.0,0.0,4.0,-6.08307758352376,1.0,0.7567678238334336,1.0,0.7567678238334336,26.0,140.0,1.0,1.0,0.0,0.0,66.44836011495775,18.144108125888692,4.0,66.44836011495775,18.144108125888692,0.0,0.0,23.0,1.0000000670420803
A,20260626.0,4.0,0.0,4.0,-4.716085363582091,0.75,0.6633909996479498,0.9985407249597915,0.6643604843204194,31.0,139.0,1.0,0.75,0.0,0.5,23.6651108860136,22.90195631425864,4.0,23.6651108860136,22.90470647453208,0.0,-0.0027501602734396613,23.0,0.9999998662220991
A,20260626.0,5.0,0.0,4.0,-3.503616150985706,0.75,0.5554415444468609,0.9998102686668496,0.5555469491101431,64.0,268.0,0.75,0.75,0.5,0.7071067811865476,68.30788979660785,25.7513482475917,4.0,66.95104033066255,21.682288115261994,1.3568494659453023,4.069060132329707,23.0,0.9999999654495426
A,20260626.0,6.0,0.0,4.0,-8.857001690274679,0.75,0.8711316947998636,0.9991214722009626,0.8718976811506707,12.0,77.0,0.75,0.75,0.5,0.5,68.30788979660785,23.020648558013196,4.0,66.95104033066255,23.121468280476435,1.3568494659453023,-0.100819722463239,23.0,1.0000001087644317
A,20260626.0,7.0,0.0,4.0,-4.259566694678158,1.0,0.6257110927294122,1.0000000000000002,0.625711092729412,43.0,190.0,1.0,1.0,0.0,0.0,23.6651108860136,20.24884125434205,4.0,23.6651108860136,20.24884125434205,0.0,0.0,23.0,0.9999999123530037
A,20260626.0,8.0,0.0,4.0,-7.136708154635098,1.0,0.8084522859350345,1.0,0.8084522859350345,23.0,105.0,1.0,1.0,0.0,0.0,23.6651108860136,19.497309454000685,4.0,23.6651108860136,19.497309454000685,0.0,0.0,23.0,0.9999999319555349
A,20260626.0,9.0,0.0,4.0,-4.84546130820595,0.75,0.6731254799855012,0.9943157373856049,0.6769735755720588,36.0,164.0,0.75,0.75,0.5,0.7071067811865476,23.69806325027751,37.89277177112192,4.0,19.444078654095016,27.16542818304619,4.2539845961824945,10.727343588075733,23.0,1.0000000629020662
