experiment,outline_section,status,runtime_s,summary_path
Oversampling/off-grid ablation,"Section 6.5.13(a)",ok,10.4589979,Results/oversampling_offgrid_ablation/summary.md
Kruskal identifiability ablation,"Section 6.5.13(b,c)",ok,3.5112011,Results/kruskal_identifiability_ablation/summary.md
Off-grid mismatch lemma validation,"Section 5.1.1 / Phase 3",ok,2.8549688,Results/offgrid_mismatch_lemma/summary.md
CDL profile generalization smoke,"Section 6.2 Set B-D",ok,2.8742887,Results/cdl_profile_generalization_smoke/summary.md
