protocol,split,threshold,is_tau_zero,gated_gain_db,increment_db,pass_rate
primary_ac_only_zero_shot_d,validation,-0.12244524115662697,0,7.476115730864502,0.0,1.0
primary_ac_only_zero_shot_d,test,-0.12244524115662697,0,5.13832105743994,0.0,1.0
primary_ac_only_zero_shot_d,validation,-0.020959882599625883,0,7.489660868657109,0.013545137792606354,0.99
primary_ac_only_zero_shot_d,test,-0.020959882599625883,0,5.143506144229977,0.005185086790036486,0.9926666666666667
primary_ac_only_zero_shot_d,validation,-0.008278145427773137,0,7.488591940392948,0.012476209528445636,0.98
primary_ac_only_zero_shot_d,test,-0.008278145427773137,0,5.159007181997146,0.020686124557205865,0.9644444444444444
primary_ac_only_zero_shot_d,validation,-0.002601875196486406,0,7.486209039307109,0.010093308442606919,0.97
primary_ac_only_zero_shot_d,test,-0.002601875196486406,0,5.212542395336847,0.07422133789690655,0.9133333333333333
primary_ac_only_zero_shot_d,validation,0.0,1,7.483828822810058,0.007713091945555917,0.9644444444444444
primary_ac_only_zero_shot_d,test,0.0,1,5.279762977771088,0.14144192033114766,0.8196666666666667
primary_ac_only_zero_shot_d,validation,0.002226330137191803,0,7.479801073040635,0.0036853421761327,0.96
primary_ac_only_zero_shot_d,test,0.002226330137191803,0,5.194373206681056,0.05605214924111568,0.7326666666666667
primary_ac_only_zero_shot_d,validation,0.004847451852897363,0,7.471942869481301,-0.00417286138320172,0.95
primary_ac_only_zero_shot_d,test,0.004847451852897363,0,5.1239619193015855,-0.014359138138354766,0.6833333333333333
primary_ac_only_zero_shot_d,validation,0.008271389145985983,0,7.459010816824607,-0.017104914039895114,0.94
primary_ac_only_zero_shot_d,test,0.008271389145985983,0,5.063805162375414,-0.07451589506452638,0.6511111111111111
primary_ac_only_zero_shot_d,validation,0.010381054593925854,0,7.441993030614102,-0.03412270025040076,0.93
primary_ac_only_zero_shot_d,test,0.010381054593925854,0,5.034965518275381,-0.10335553916455886,0.6353333333333333
primary_ac_only_zero_shot_d,validation,0.011954735628039783,0,7.422612560638038,-0.053503170226464114,0.92
primary_ac_only_zero_shot_d,test,0.011954735628039783,0,5.0181630826387424,-0.12015797480119783,0.6276666666666667
primary_ac_only_zero_shot_d,validation,0.013451388122290341,0,7.398532741096707,-0.07758298976779532,0.91
primary_ac_only_zero_shot_d,test,0.013451388122290341,0,5.002247351181571,-0.13607370625836968,0.62
primary_ac_only_zero_shot_d,validation,0.015063570900681335,0,7.3697616765117235,-0.10635405435277878,0.9
primary_ac_only_zero_shot_d,test,0.015063570900681335,0,4.979371584821273,-0.15894947261866754,0.6103333333333333
primary_ac_only_zero_shot_d,validation,0.016198481914374806,0,7.339707571778057,-0.13640815908644566,0.89
primary_ac_only_zero_shot_d,test,0.016198481914374806,0,4.9614676337947206,-0.17685342364521972,0.6035555555555555
primary_ac_only_zero_shot_d,validation,0.01709278198250045,0,7.307645716644013,-0.1684700142204889,0.88
primary_ac_only_zero_shot_d,test,0.01709278198250045,0,4.941019711204158,-0.19730134623578266,0.5958888888888889
primary_ac_only_zero_shot_d,validation,0.018650104527985052,0,7.267403892333051,-0.20871183853145148,0.87
primary_ac_only_zero_shot_d,test,0.018650104527985052,0,4.9122423553641905,-0.22607870207574976,0.5851111111111111
primary_ac_only_zero_shot_d,validation,0.019861628328976304,0,7.233553923293799,-0.242561807570703,0.86
primary_ac_only_zero_shot_d,test,0.019861628328976304,0,4.886021256563475,-0.2522998008764654,0.5781111111111111
primary_ac_only_zero_shot_d,validation,0.020992136460659703,0,7.190391184930427,-0.2857245459340749,0.85
primary_ac_only_zero_shot_d,test,0.020992136460659703,0,4.857514431933667,-0.28080662550627356,0.5707777777777778
primary_ac_only_zero_shot_d,validation,0.021809039641191436,0,7.149578718067495,-0.3265370127970071,0.84
primary_ac_only_zero_shot_d,test,0.021809039641191436,0,4.83157956431486,-0.30674149312508003,0.5648888888888889
primary_ac_only_zero_shot_d,validation,0.022955260954628992,0,7.1085529243946945,-0.36756280646980777,0.83
primary_ac_only_zero_shot_d,test,0.022955260954628992,0,4.790756872704597,-0.3475641847353437,0.5556666666666666
primary_ac_only_zero_shot_d,validation,0.02383333720296247,0,7.062465670327745,-0.41365006053675746,0.82
primary_ac_only_zero_shot_d,test,0.02383333720296247,0,4.756757265851558,-0.3815637915883823,0.5493333333333333
