split,seed,snr_db,n_targets,sample_index,method,measurement_nmse_db,angle_bin_rmse,delay_bin_rmse,doppler_bin_rmse,normalized_joint_bin_rmse,matched_fraction_within_half_bin,wall_clock_ms,fft_support_ms,final_ls_ms,local_update_ms,accepted_newton_updates,derivative_evaluations,trial_score_evaluations,gate_pass,residual_reduction_fraction,grid_ls_ms,gate_decision_ms
test,20260630,0.0,2,0,grid_fft_topL_joint_ls,-8.128744568928925,4.457529911746509,3.7785263965775666,4.977777105132871,0.28492248146365906,0.0,5.530999973416328,1.6522999503649771,3.8787000230513513,,,,,,,,
test,20260630,0.0,2,0,axiswise_quadratic_peak_joint_ls,-8.356311546854208,4.457564388731637,3.779477848767932,4.985134387068285,0.28509737168161814,0.0,7.255099946632981,1.6522999503649771,3.986200026702136,1.6165999695658684,,,,,,,
test,20260630,0.0,2,0,axiswise_candan_joint_ls,-13.374249306732013,4.480738348113827,3.8559865778877143,5.095680179029505,0.2909697215497874,0.5,7.071099942550063,1.6522999503649771,3.8660999853163958,1.5527000068686903,,,,,,,
test,20260630,0.0,2,0,one_step_fixed_support_newton_joint_ls,-11.329912528732793,4.492063747554927,3.897981721958939,5.191976395391664,0.2948033469663012,0.0,20.3644999419339,1.6522999503649771,3.988899989053607,14.723300002515316,1,2,6,,,,
test,20260630,0.0,2,0,cartesian_local_joint_ls,-10.592775862478877,4.457529911746509,3.7785263965775666,5.110877876634925,0.28721447760861657,0.5,6.299799948465079,1.6522999503649771,3.9626999641768634,0.6848000339232385,,,,,,,
test,20260630,0.0,2,1,grid_fft_topL_joint_ls,-6.37367160074168,0.2693597488988782,0.11765362396380633,0.14735660758942065,0.008927777593923427,1.0,5.574000009801239,1.6491999849677086,3.92480002483353,,,,,,,,
test,20260630,0.0,2,1,axiswise_quadratic_peak_joint_ls,-6.955494362770054,0.22641179704208866,0.11447661050322477,0.14250522939473714,0.00861113081455252,1.0,7.1570000145584345,1.6491999849677086,3.8805000367574394,1.6272999928332865,,,,,,,
test,20260630,0.0,2,1,axiswise_candan_joint_ls,-39.39122891414939,0.0017944761948614548,0.006587915169395333,0.0014957916474714567,0.0004146265695865869,1.0,7.110399950761348,1.6491999849677086,3.8902999949641526,1.5708999708294868,,,,,,,
test,20260630,0.0,2,1,one_step_fixed_support_newton_joint_ls,-11.40575904000979,0.1036491824660867,0.058921399104995734,0.08588157159288687,0.004628167886084104,1.0,18.095599953085184,1.6491999849677086,3.861500008497387,12.584899959620088,2,2,2,,,,
test,20260630,0.0,2,1,cartesian_local_joint_ls,-15.089827987081641,0.08675205523767263,0.04693549287023762,0.07065470481895639,0.0037335863733108593,1.0,6.267599994316697,1.6491999849677086,3.896399983204901,0.7220000261440873,,,,,,,
test,20260630,0.0,2,2,grid_fft_topL_joint_ls,-3.5689863835775215,0.20854674598188339,0.2409888434024844,0.25808695877169147,0.017162754998123173,1.0,5.598499963525683,1.6426999936811626,3.95579996984452,,,,,,,,
test,20260630,0.0,2,2,axiswise_quadratic_peak_joint_ls,-4.332548385779921,0.18692081834362811,0.22049879958686078,0.22890365049220626,0.015595580920389568,1.0,7.199399988166988,1.6426999936811626,3.9074000087566674,1.649299985729158,,,,,,,
test,20260630,0.0,2,2,axiswise_candan_joint_ls,-35.06238965269922,0.0057481193581254,0.00648577273912182,0.0037023747532165005,0.0004239343552550663,1.0,7.197899976745248,1.6426999936811626,3.941599978134036,1.6136000049300492,,,,,,,
test,20260630,0.0,2,2,one_step_fixed_support_newton_joint_ls,-4.412772458316107,0.12637368173578492,0.22188274809916275,0.24160104858760795,0.015820558300852647,1.0,20.48149995971471,1.6426999936811626,4.018699983134866,14.820099982898682,1,2,6,,,,
test,20260630,0.0,2,2,cartesian_local_joint_ls,-13.922202929075706,0.06647199671699731,0.044471938484565314,0.07000092468635942,0.003574991887551812,1.0,6.496499991044402,1.6426999936811626,4.015599959529936,0.8382000378333032,,,,,,,
test,20260630,0.0,2,3,grid_fft_topL_joint_ls,-3.660184730417169,0.20905631939131755,0.26800086519467187,0.18117387918308922,0.017756308394861732,1.0,5.648599995765835,1.70079997042194,3.947800025343895,,,,,,,,
test,20260630,0.0,2,3,axiswise_quadratic_peak_joint_ls,-4.225153747473165,0.1987010507389846,0.24377105420654732,0.16669430878577307,0.016176273006448402,1.0,7.251299975905567,1.70079997042194,3.883900004439056,1.6666000010445714,,,,,,,
test,20260630,0.0,2,3,axiswise_candan_joint_ls,-38.37992261834559,0.0026132372670505987,0.003338412830950501,0.00471978199025686,0.00025633222007613826,1.0,7.167099975049496,1.70079997042194,3.901700023561716,1.5645999810658395,,,,,,,
test,20260630,0.0,2,3,one_step_fixed_support_newton_joint_ls,-3.8463034100536344,0.19580036753022115,0.24525076801909515,0.1812177522043917,0.01641228288083334,1.0,20.365500007756054,1.70079997042194,4.056799982208759,14.607900055125356,1,2,6,,,,
test,20260630,0.0,2,3,cartesian_local_joint_ls,-18.50715950706077,0.017695608787448497,0.045596346945329,0.03595304715864163,0.003066371903418179,1.0,6.354799959808588,1.70079997042194,3.9454999496228993,0.7085000397637486,,,,,,,
test,20260630,0.0,2,4,grid_fft_topL_joint_ls,-8.27224096235655,0.14272182126550137,0.12403853464069309,0.20970047272507158,0.010212087633960813,1.0,5.691699974704534,1.7115999944508076,3.9800999802537262,,,,,,,,
test,20260630,0.0,2,4,axiswise_quadratic_peak_joint_ls,-8.680382142376954,0.1366774610402553,0.12126068393693325,0.18627158756928786,0.00961572522561462,1.0,7.379999966360629,1.7115999944508076,4.016800026874989,1.6515999450348318,,,,,,,
test,20260630,0.0,2,4,axiswise_candan_joint_ls,-39.52681995265009,0.0026515532056359445,0.004717457209851021,0.0017627249834922117,0.0003006572071733315,1.0,7.607799954712391,1.7115999944508076,4.259399953298271,1.6368000069633126,,,,,,,
test,20260630,0.0,2,4,one_step_fixed_support_newton_joint_ls,-15.252937689338255,0.08780704809948142,0.04395297599646258,0.10991214700601218,0.0044513446343723275,1.0,19.32630001101643,1.7115999944508076,4.13080002181232,13.483899994753301,2,2,2,,,,
test,20260630,0.0,2,4,cartesian_local_joint_ls,-14.047887376116357,0.06304108933465455,0.07358637444333174,0.05448194959737285,0.00492883803406381,1.0,6.551099999342114,1.7115999944508076,4.055100027471781,0.7843999774195254,,,,,,,
test,20260630,0.0,2,5,grid_fft_topL_joint_ls,-4.24340696218945,0.25291296747722525,0.19667413159089564,0.22964996604216645,0.014370236086332644,1.0,5.786199995782226,1.746599969919771,4.039600025862455,,,,,,,,
test,20260630,0.0,2,5,axiswise_quadratic_peak_joint_ls,-4.819121105642977,0.2314102272840223,0.18578289653179522,0.20762946054635056,0.013423613820445672,1.0,7.3355999775230885,1.746599969919771,3.9550000219605863,1.6339999856427312,,,,,,,
test,20260630,0.0,2,5,axiswise_candan_joint_ls,-37.82507901486941,0.005664250734372819,0.0010114101192325593,0.005762395773358986,0.00019591093392927762,1.0,7.323400001041591,1.746599969919771,4.023500019684434,1.5533000114373863,,,,,,,
test,20260630,0.0,2,5,one_step_fixed_support_newton_joint_ls,-6.051284914440027,0.19524343421753693,0.18173412391543647,0.22034073999595152,0.013369804364541677,1.0,19.81210004305467,1.746599969919771,3.390900033991784,14.674600039143115,1,2,6,,,,
test,20260630,0.0,2,5,cartesian_local_joint_ls,-14.001462986243391,0.040800151844930674,0.0479686340911692,0.07860502324992401,0.003888930338857955,1.0,6.430700013879687,1.746599969919771,3.9544000173918903,0.7297000265680254,,,,,,,
test,20260630,0.0,2,6,grid_fft_topL_joint_ls,-6.927555909664507,0.15142525584259164,0.15535419291296193,0.24449605689214962,0.012411842385849865,1.0,5.604600009974092,1.6736999968998134,3.930900013074279,,,,,,,,
test,20260630,0.0,2,6,axiswise_quadratic_peak_joint_ls,-7.495865062784514,0.14763513659316682,0.1515760910814693,0.20174928834403766,0.011437938825460764,1.0,7.1853999979794025,1.6736999968998134,3.9294000016525388,1.5822999994270504,,,,,,,
test,20260630,0.0,2,6,axiswise_candan_joint_ls,-33.76049128358731,0.011827182618341066,0.007534388045246237,0.0028151531660692403,0.0004878761977518622,1.0,7.2073000483214855,1.6736999968998134,3.9334000321105123,1.6002000193111598,,,,,,,
test,20260630,0.0,2,6,one_step_fixed_support_newton_joint_ls,-9.543031907073793,0.13260347827196162,0.10088512035387023,0.24427886465936813,0.009955093207458328,1.0,20.083600014913827,1.6736999968998134,3.909300023224205,14.500599994789809,1,2,6,,,,
test,20260630,0.0,2,6,cartesian_local_joint_ls,-12.912474000089802,0.08170803266744034,0.07479929908705335,0.07466520122025402,0.005263737190486951,1.0,6.15159998415038,1.6736999968998134,3.8029999705031514,0.6749000167474151,,,,,,,
test,20260630,0.0,2,7,grid_fft_topL_joint_ls,-3.6355574754597537,0.23907000440025009,0.19956935303674406,0.1580710491323311,0.013545003022605162,1.0,5.642999953124672,1.6484999796375632,3.994499973487109,,,,,,,,
test,20260630,0.0,2,7,axiswise_quadratic_peak_joint_ls,-4.3504589762208745,0.21349507091492312,0.1803542645706929,0.15306738777521414,0.012358141423791045,1.0,7.290299981832504,1.6484999796375632,4.003700043540448,1.638099958654493,,,,,,,
test,20260630,0.0,2,7,axiswise_candan_joint_ls,-36.72124758892087,0.00671354376096382,0.005729032842176638,0.003263644617135936,0.0003759825990954518,1.0,7.226499961689115,1.6484999796375632,3.977899963501841,1.6001000185497105,,,,,,,
test,20260630,0.0,2,7,one_step_fixed_support_newton_joint_ls,-3.7734045828926233,0.22089601777871698,0.19599876112222456,0.12164164120030814,0.012941742849969028,1.0,19.823099952191114,1.6484999796375632,3.268799977377057,14.905799995176494,1,2,6,,,,
test,20260630,0.0,2,7,cartesian_local_joint_ls,-13.380990667588934,0.07153760354710874,0.055965310329744805,0.06879858981885,0.004143608783104622,1.0,6.19009998627007,1.6484999796375632,3.8400000194087625,0.7015999872237444,,,,,,,
test,20260630,0.0,2,8,grid_fft_topL_joint_ls,-4.470093126780145,0.2298229362948869,0.15753712341547618,0.10756277708188107,0.01055781577935833,1.0,5.586499988567084,1.6582999960519373,3.9281999925151467,,,,,,,,
test,20260630,0.0,2,8,axiswise_quadratic_peak_joint_ls,-5.211149680155934,0.19767512616084865,0.15238577082268562,0.10496748752798919,0.010190858438168545,1.0,7.310599961783737,1.6582999960519373,4.039999970700592,1.6122999950312078,,,,,,,
test,20260630,0.0,2,8,axiswise_candan_joint_ls,-38.78615974776649,0.0008256432609158755,0.002904906780461228,0.005514256384019825,0.00025039726737684334,1.0,7.1409999509342015,1.6582999960519373,3.9290999993681908,1.5535999555140734,,,,,,,
test,20260630,0.0,2,8,one_step_fixed_support_newton_joint_ls,-10.49648205117929,0.0923254060303139,0.07064969710908806,0.06144358028961867,0.004868744098264109,1.0,18.36609997553751,1.6582999960519373,3.8958999793976545,12.811900000087917,2,2,2,,,,
test,20260630,0.0,2,8,cartesian_local_joint_ls,-12.994799827616557,0.07902163107947141,0.07869141801724683,0.053407609905178684,0.005230246133723899,1.0,6.256099964957684,1.6582999960519373,3.8710000226274133,0.7267999462783337,,,,,,,
test,20260630,0.0,2,9,grid_fft_topL_joint_ls,-4.737063686944433,0.14530673730626625,0.05334926162382928,0.2720676413169731,0.009202846680276598,1.0,5.620600015390664,1.7096999799832702,3.910900035407394,,,,,,,,
test,20260630,0.0,2,9,axiswise_quadratic_peak_joint_ls,-5.483930591095499,0.13833314089129503,0.05360701552087595,0.24386500106446057,0.008394624326973186,1.0,7.241899962536991,1.7096999799832702,3.9437999948859215,1.588399987667799,,,,,,,
test,20260630,0.0,2,9,axiswise_candan_joint_ls,-39.506067043931296,0.007241115280888909,0.0009059411597849592,0.0015489872365152674,9.353824212610292e-05,1.0,7.186299946624786,1.7096999799832702,3.9075000095181167,1.5690999571233988,,,,,,,
test,20260630,0.0,2,9,one_step_fixed_support_newton_joint_ls,-9.769135358080263,0.08701925557300504,0.03186719326837296,0.13819849077607507,0.00480418994451497,1.0,18.518899974878877,1.7096999799832702,3.8520999951288104,12.957099999766797,2,2,2,,,,
test,20260630,0.0,2,9,cartesian_local_joint_ls,-16.116462689999075,0.023510631183735604,0.05334926162382928,0.05571126240931186,0.0037659642590479017,1.0,6.266300042625517,1.7096999799832702,3.893100016284734,0.6635000463575125,,,,,,,
test,20260630,0.0,2,10,grid_fft_topL_joint_ls,-5.475233329807963,0.16550141464525694,0.08882715215211225,0.2575122529762286,0.009861617324317512,1.0,5.5315999779850245,1.7035999917425215,3.827999986242503,,,,,,,,
test,20260630,0.0,2,10,axiswise_quadratic_peak_joint_ls,-6.183346129776987,0.15529708211323984,0.08849150817821294,0.22512303692064395,0.00903069277114467,1.0,7.325899961870164,1.7035999917425215,3.88029997702688,1.7419999931007624,,,,,,,
test,20260630,0.0,2,10,axiswise_candan_joint_ls,-40.56248583853949,0.0029496552618827735,0.0020102565043310107,0.0020090792758628052,0.0001423323558995186,1.0,7.144699979107827,1.7035999917425215,3.898700000718236,1.5423999866470695,,,,,,,
test,20260630,0.0,2,10,one_step_fixed_support_newton_joint_ls,-7.6780902500574975,0.15413799619014704,0.07732361575191862,0.1484817320561307,0.006807014605169784,1.0,18.41209997655824,1.7035999917425215,3.9414999773725867,12.76700000744313,2,2,2,,,,
test,20260630,0.0,2,10,cartesian_local_joint_ls,-13.138935401753955,0.01966220067016907,0.08882715215211225,0.08497068888792335,0.0061559511698852515,1.0,6.437900010496378,1.7035999917425215,4.03740000911057,0.6969000096432865,,,,,,,
test,20260630,0.0,2,11,grid_fft_topL_joint_ls,-6.8767957012775085,0.1232780491976911,0.19978526180788048,0.09086141452887586,0.012841516013559297,1.0,5.705500021576881,1.7021999810822308,4.003300040494651,,,,,,,,
test,20260630,0.0,2,11,axiswise_quadratic_peak_joint_ls,-7.269656823277182,0.1218769038956731,0.1891351109872691,0.0900879195670252,0.012188804730482913,1.0,7.525299966800958,1.7021999810822308,4.057099984493107,1.7660000012256205,,,,,,,
test,20260630,0.0,2,11,axiswise_candan_joint_ls,-41.055823837316325,0.0050227431432977145,0.0024272219150700473,0.004472673447187338,0.00020997390894903425,1.0,7.0797999505884945,1.7021999810822308,3.806499997153878,1.5710999723523855,,,,,,,
test,20260630,0.0,2,11,one_step_fixed_support_newton_joint_ls,-9.880633732946228,0.07794472079072295,0.12350340033234616,0.05099690589817618,0.007905246675745527,1.0,18.31579999998212,1.7021999810822308,3.8360999897122383,12.77750002918765,2,2,2,,,,
test,20260630,0.0,2,11,cartesian_local_joint_ls,-13.782844035830035,0.10181363866201121,0.043505027053465005,0.07868116332412789,0.003751217385902574,1.0,5.675299966242164,1.7021999810822308,3.2688999781385064,0.7042000070214272,,,,,,,
test,20260630,0.0,2,12,grid_fft_topL_joint_ls,-5.345525472120739,45.18097268007044,5.617538853180401,5.780618381584034,0.529616088670109,0.5,5.6437000166624784,1.6833000117912889,3.9604000048711896,,,,,,,,
test,20260630,0.0,2,12,axiswise_quadratic_peak_joint_ls,-6.139329516114661,45.182746540809354,5.617305232873964,5.77876712305541,0.5295959160687393,0.5,7.176599989179522,1.6833000117912889,3.8771999534219503,1.6161000239662826,,,,,,,
test,20260630,0.0,2,12,axiswise_candan_joint_ls,-9.363254574709291,45.24961914343219,5.572822698291706,6.128919720927257,0.531947676338904,0.5,7.1233000489883125,1.6833000117912889,3.8645000313408673,1.5755000058561563,,,,,,,
test,20260630,0.0,2,12,one_step_fixed_support_newton_joint_ls,-8.408078116489653,45.180918599707375,5.617381007483315,5.775812293612239,0.5295580575876656,0.5,19.6400000131689,1.6833000117912889,3.5368999815545976,14.419800019823015,1,2,6,,,,
test,20260630,0.0,2,12,cartesian_local_joint_ls,-7.392465918919294,45.1809690123497,5.617538853180401,6.093987025976989,0.5330357363143273,0.5,6.445100007113069,1.6833000117912889,4.060200008098036,0.7015999872237444,,,,,,,
test,20260630,0.0,2,13,grid_fft_topL_joint_ls,-3.3304823185891363,0.2663336448016758,0.1615895758891452,0.2343201143299427,0.012646949930699723,1.0,5.640699993818998,1.6744000022299588,3.9662999915890396,,,,,,,,
test,20260630,0.0,2,13,axiswise_quadratic_peak_joint_ls,-3.9779645925223477,0.241762948100456,0.15527601011902142,0.210708416332148,0.011878851212642585,1.0,7.552800001576543,1.6744000022299588,4.0648000431247056,1.8135999562218785,,,,,,,
test,20260630,0.0,2,13,axiswise_candan_joint_ls,-38.022144378799155,0.004467831663006692,0.002664600765795484,0.001483198659197964,0.00017635596939687804,1.0,7.338199997320771,1.6744000022299588,4.079699981957674,1.5841000131331384,,,,,,,
test,20260630,0.0,2,13,one_step_fixed_support_newton_joint_ls,-3.4485268363655557,0.24439608725432713,0.16014887189545884,0.23114355350063026,0.012490272678802785,1.0,20.45810007257387,1.6744000022299588,3.987500036600977,14.796200033742934,1,2,6,,,,
test,20260630,0.0,2,13,cartesian_local_joint_ls,-14.65655808215351,0.043860850129534765,0.07305783559193352,0.0772980668802611,0.0051770429612921,1.0,6.358699989505112,1.6744000022299588,3.928899997845292,0.7553999894298613,,,,,,,
test,20260630,0.0,2,14,grid_fft_topL_joint_ls,-4.475169821679765,0.27773523360835495,0.18963139531836867,0.10254232709689111,0.012467780623237217,1.0,5.640400049742311,1.7179000424221158,3.9225000073201954,,,,,,,,
test,20260630,0.0,2,14,axiswise_quadratic_peak_joint_ls,-5.115653450149412,0.24807708667786768,0.17229676068916228,0.10179577356500338,0.011394620121997542,1.0,7.330300053581595,1.7179000424221158,3.7965000374242663,1.8158999737352133,,,,,,,
test,20260630,0.0,2,14,axiswise_candan_joint_ls,-37.33416636908063,0.00412805265976613,0.0065979140458134215,0.00440772333849523,0.0004359604107163953,1.0,7.221000036224723,1.7179000424221158,3.9461000123992562,1.5569999814033508,,,,,,,
