seed,snr_db,n_targets,sample_index,method,measurement_nmse_db,angle_bin_rmse,delay_bin_rmse,doppler_bin_rmse,normalized_joint_bin_rmse,matched_fraction_within_half_bin,wall_clock_ms,failed
20260630,0.0,2,0,complex_parafac_als_10_sweeps,-11.85435430815173,4.5316805531541595,3.8359094038074573,5.098250523795565,0.2900236895294534,0.5,24.254000003566034,0
20260630,0.0,2,1,complex_parafac_als_10_sweeps,-13.051399772060952,0.19753748828003023,0.014437051354533834,0.007024957972765938,0.0018011172873889983,1.0,23.007600000710227,0
20260630,0.0,2,2,complex_parafac_als_10_sweeps,-35.48308405416615,0.005966629410532459,0.00483604849283791,0.003960714411885855,0.0003299232871454861,1.0,21.98609999322798,0
20260630,0.0,2,3,complex_parafac_als_10_sweeps,-32.89188621991441,0.013682471262219656,0.0022095261140479693,0.008874798281536339,0.0003277388998833817,1.0,21.574599988525733,0
20260630,0.0,2,4,complex_parafac_als_10_sweeps,-33.157682280660666,0.008675799947042019,0.003347600103762238,0.01210915123875832,0.0004376803128281308,1.0,21.779199989396147,0
20260630,0.0,2,5,complex_parafac_als_10_sweeps,-39.03655267731989,0.004279382912753836,0.002312664285909736,0.0031682019995710312,0.00017835987308159354,1.0,22.896800001035444,0
20260630,0.0,2,6,complex_parafac_als_10_sweeps,-36.17185807623868,0.0025645173481878276,0.0009316519555657609,0.006411823894392847,0.00020961840782523578,1.0,16.932200000155717,0
20260630,0.0,2,7,complex_parafac_als_10_sweeps,-29.226640192650244,0.03470453003840117,0.00527803185793221,0.01153412153673726,0.0005587913471503965,1.0,20.864000005531125,0
20260630,0.0,2,8,complex_parafac_als_10_sweeps,-29.34744788787086,0.027761606155351618,0.004955233888311315,0.012912900217790957,0.0005529833302916766,1.0,23.339899998973124,0
20260630,0.0,2,9,complex_parafac_als_10_sweeps,-7.790884323810539,12.159799011437274,1.3272367528851698,6.318083071915328,0.23428268556226414,0.5,21.605499990982935,0
20260630,0.0,2,10,complex_parafac_als_10_sweeps,-30.300851785378867,0.017706945696451797,0.0008805326082076012,0.003693608142873231,0.00018838356187549305,1.0,21.420300006866455,0
20260630,0.0,2,11,complex_parafac_als_10_sweeps,-39.40368898723557,0.0037011168258513547,0.005779930059996958,0.0021494411420917843,0.0003685733221170802,1.0,20.896899994113483,0
20260630,0.0,2,12,complex_parafac_als_10_sweeps,-32.55231831282855,0.012389420275230259,0.005087128683086063,0.010734070951253923,0.00047220538988480295,1.0,31.169499998213723,0
20260630,0.0,2,13,complex_parafac_als_10_sweeps,-32.530286548856296,0.00901416017392062,0.0021150887216213362,0.004682699365525176,0.00020939952579483807,1.0,27.35910000046715,0
20260630,0.0,2,14,complex_parafac_als_10_sweeps,-34.5081128875944,0.011590374277135801,0.004684641342516864,0.0016943952030259606,0.00031101283890812184,1.0,22.156499995617196,0
20260630,0.0,2,15,complex_parafac_als_10_sweeps,-32.37354929727807,0.014439422287692889,0.0026707900861043356,0.005876570174129151,0.0002726060806238696,1.0,21.980299992719665,0
20260630,0.0,2,16,complex_parafac_als_10_sweeps,-17.647315128329183,9.019645258808804,2.2778296459887524,7.544802155494033,0.2842937661916113,0.0,22.15670001169201,0
20260630,0.0,2,17,complex_parafac_als_10_sweeps,-29.360717574466566,0.01648453338688734,0.002418123189117834,0.005935672960298526,0.0002717227170212127,1.0,22.206200010259636,0
20260630,0.0,2,18,complex_parafac_als_10_sweeps,-33.58147508955338,0.011927830028873673,0.004163950409539594,0.004057141933771343,0.00030411629678585804,1.0,21.459399999002926,0
20260630,0.0,2,19,complex_parafac_als_10_sweeps,-33.491546259248516,0.00647484469333475,0.004013985064824144,0.009269572252884417,0.0003865329414940013,1.0,24.181999993743375,0
20260630,0.0,4,0,complex_parafac_als_10_sweeps,-1.1861141736845813,15.535298505271916,0.6111925428593723,3.672874122281776,0.17135809585641373,0.25,38.9634000021033,0
20260630,0.0,4,1,complex_parafac_als_10_sweeps,-0.0035966029482523776,11.830387209935951,1.7811547228377347,3.4786869448430062,0.18097686934879378,0.0,40.72469999664463,0
20260630,0.0,4,2,complex_parafac_als_10_sweeps,-5.515687052550307,17.36952981004843,3.577890485501745,0.9987013872740276,0.2634263623272147,0.5,33.49819999129977,0
20260630,0.0,4,3,complex_parafac_als_10_sweeps,-27.776158567173148,0.019456923468024762,0.008647202791726372,0.006745366233424502,0.0005996883728787295,1.0,32.821999993757345,0
20260630,0.0,4,4,complex_parafac_als_10_sweeps,-0.07552056576662028,4.316003555355878,2.1387845494039763,3.340164989749749,0.17291882599287958,0.0,36.889899987727404,0
20260630,0.0,4,5,complex_parafac_als_10_sweeps,-0.17871722031066334,4.482000256178925,2.1258563298359805,0.5885217094602347,0.13862796835346622,0.0,36.599499988369644,0
20260630,0.0,4,6,complex_parafac_als_10_sweeps,-27.25915003099751,0.02176892980711163,0.003468823530247761,0.0072861527677549375,0.00035744982021936056,1.0,32.156899993424304,0
20260630,0.0,4,7,complex_parafac_als_10_sweeps,-2.6127281333474697,24.743615345617734,2.631723600721736,2.2629436303440054,0.2634843830422757,0.5,41.50179999123793,0
20260630,0.0,4,8,complex_parafac_als_10_sweeps,-30.582554448753562,0.024313516387438193,0.006618954894988577,0.004681032172791696,0.00047813624400118584,1.0,33.847400001832284,0
20260630,0.0,4,9,complex_parafac_als_10_sweeps,-31.641712452050967,0.01195342032031579,0.0025040225870015297,0.004559523807251032,0.0002313345282556404,1.0,34.01499999745283,0
20260630,0.0,4,10,complex_parafac_als_10_sweeps,-3.824625135664195,2.22354843108186,0.01989578886490318,4.130302120478698,0.1302416228587367,0.5,33.717799989972264,0
20260630,0.0,4,11,complex_parafac_als_10_sweeps,-27.48000174920335,0.03275435829957105,0.0034517871022280424,0.008266026105433493,0.0004227878129320304,1.0,42.990899994038045,0
20260630,0.0,4,12,complex_parafac_als_10_sweeps,-2.9765960017428865,17.577658654082054,1.3406020822339735,4.152103418422973,0.20667498545564228,0.5,38.13829999126028,0
20260630,0.0,4,13,complex_parafac_als_10_sweeps,-3.7285096564942015,29.997039976632667,1.085918823995407,1.152223357320402,0.2466244731493955,0.5,36.15139999601524,0
20260630,0.0,4,14,complex_parafac_als_10_sweeps,-6.87847867492594,2.4488936408104918,0.012378598911232337,0.0652784312336431,0.019255977573040345,0.75,36.92149999551475,0
20260630,0.0,4,15,complex_parafac_als_10_sweeps,-1.9858891164184986,21.1119951300081,2.6564199709599308,4.041626455830687,0.26593416530852554,0.0,34.11520000372548,0
20260630,0.0,4,16,complex_parafac_als_10_sweeps,-2.467598694794246,20.98117130266138,0.11144654954916634,7.984821481022949,0.2986299318155821,0.5,39.05110000050627,0
20260630,0.0,4,17,complex_parafac_als_10_sweeps,-5.101479101970824,6.534015850476428,0.10447812721847866,1.7654810660432863,0.07544737214503751,0.5,35.822900012135506,0
20260630,0.0,4,18,complex_parafac_als_10_sweeps,-1.4548019597721402,11.451646656492736,2.694154244554519,1.124873131511873,0.19388974580340604,0.0,31.146900000749156,0
20260630,0.0,4,19,complex_parafac_als_10_sweeps,-28.99967269569201,0.02808266381296148,0.0052155438889039995,0.013907444230007298,0.0005858973716809653,1.0,47.87680000299588,0
20260630,0.0,8,0,complex_parafac_als_10_sweeps,-5.111570706568802,6.636557507046717,2.1066539492915157,3.0611302623900083,0.17080698114455972,0.5,65.51020000188146,0
20260630,0.0,8,1,complex_parafac_als_10_sweeps,-1.2282392880354291,6.575825717808391,1.3271603218006327,3.29809526652782,0.14192263520273507,0.25,74.52910000574775,0
20260630,0.0,8,2,complex_parafac_als_10_sweeps,-1.1174577961379581,17.82323826778347,2.7276692948298193,2.9532348128333643,0.23868240593470674,0.25,69.53819999762345,0
20260630,0.0,8,3,complex_parafac_als_10_sweeps,-1.4981184828319691,25.392254052504953,1.500584146226275,3.2069645577366837,0.24123207341283032,0.125,73.2510999951046,0
20260630,0.0,8,4,complex_parafac_als_10_sweeps,-1.0904163866761174,9.462794510850218,1.4793032360501435,4.379272240257751,0.18094777498946915,0.25,75.11370000429451,0
20260630,0.0,8,5,complex_parafac_als_10_sweeps,-2.581660426200628,15.107325407472336,2.3591332398783806,4.3596206443907715,0.23287601020783671,0.375,78.32600000256207,0
20260630,0.0,8,6,complex_parafac_als_10_sweeps,-1.7575934134956608,19.16512256484715,0.7812332676806784,5.64704279189146,0.23652506339847496,0.375,76.67039999796543,0
20260630,0.0,8,7,complex_parafac_als_10_sweeps,-2.387336663251563,15.519278739193348,2.927442088606838,5.041223420059337,0.2701753681893674,0.25,66.00489999982528,0
20260630,0.0,8,8,complex_parafac_als_10_sweeps,-1.8412406936768653,10.851442712152721,2.70138154504988,2.9097318130828933,0.20966864038290597,0.25,70.27139999263454,0
20260630,0.0,8,9,complex_parafac_als_10_sweeps,-1.7411035894449565,17.90886366928589,2.3600790691903457,4.89873084057428,0.2544965140317799,0.125,75.32269999501295,0
20260630,0.0,8,10,complex_parafac_als_10_sweeps,-0.2669571165266915,17.88042763326841,2.8209178405774997,3.3078213800185003,0.2475541447779134,0.125,79.74049999029376,0
20260630,0.0,8,11,complex_parafac_als_10_sweeps,-6.980057952551072,4.624775082316506,2.216797997666953,2.0354294578548786,0.15667607707561151,0.625,75.31010000093374,0
20260630,0.0,8,12,complex_parafac_als_10_sweeps,-1.0818630544979206,12.364889907290564,0.7214839775822867,5.089597656882642,0.19147305525443362,0.25,75.5627999897115,0
20260630,0.0,8,13,complex_parafac_als_10_sweeps,-2.4476958717053385,10.613993375437046,1.6716040724821022,1.2790813457416133,0.1392437135672945,0.5,76.26149999850895,0
20260630,0.0,8,14,complex_parafac_als_10_sweeps,-7.466211397519658,16.22112640628924,1.1237127047488655,5.418472186017779,0.2228545075012577,0.625,64.60789999982808,0
20260630,0.0,8,15,complex_parafac_als_10_sweeps,-0.3443157645421824,18.495012073203544,1.2280838325205499,4.562452757354335,0.2170195545267802,0.0,71.66160001361277,0
20260630,0.0,8,16,complex_parafac_als_10_sweeps,-3.5981219160556357,17.406058854890013,1.4531151873042356,4.134285951171286,0.20840300412661206,0.25,67.4319999961881,0
20260630,0.0,8,17,complex_parafac_als_10_sweeps,-3.8822432763006547,10.44790142176587,2.0657041342287066,5.0765691104377435,0.22022383737020193,0.25,65.60950000130106,0
20260630,0.0,8,18,complex_parafac_als_10_sweeps,-0.6838185485540018,17.849191651507592,2.4492770888654785,5.719109578353244,0.27353328690947776,0.25,63.786200000322424,0
20260630,0.0,8,19,complex_parafac_als_10_sweeps,-1.5463911966443324,21.096031751328834,0.9168392101487653,2.7810561987516884,0.1949354106222119,0.375,85.5366000032518,0
20260630,10.0,2,0,complex_parafac_als_10_sweeps,-42.42145485096167,0.0034185877635438365,0.004503789514583944,0.0014291447988638208,0.00028625640722972247,1.0,17.786399999749847,0
20260630,10.0,2,1,complex_parafac_als_10_sweeps,-42.795983715365516,0.004636432170683721,0.0007664632825753317,0.001024077939221015,6.805135737481575e-05,1.0,16.258000003290363,0
20260630,10.0,2,2,complex_parafac_als_10_sweeps,-47.014771411648255,0.002133031625380485,0.0005494067380040866,0.0007323592326324499,4.450361088930051e-05,1.0,23.7209999904735,0
20260630,10.0,2,3,complex_parafac_als_10_sweeps,-39.439125939442434,0.003950748999621264,0.0011016089298274913,0.004010270185918817,0.00014628192094483212,1.0,23.98340000945609,0
20260630,10.0,2,4,complex_parafac_als_10_sweeps,-47.25416773337617,0.0021779081896454305,0.001553600045028824,0.0003298917817082736,9.9117080007778e-05,1.0,23.719200005871244,0
20260630,10.0,2,5,complex_parafac_als_10_sweeps,1.8768142301061343e-05,11.670159444778088,1.900450928911914,4.218641598517135,0.19950091711296186,0.0,19.7935000032885,0
20260630,10.0,2,6,complex_parafac_als_10_sweeps,-47.65010074641392,0.0017758645136439473,0.0014308778631089752,0.0002995704777570653,9.098256095167502e-05,1.0,24.539999998523854,0
20260630,10.0,2,7,complex_parafac_als_10_sweeps,-42.87786243890143,0.002569439511303365,0.002400427014136294,0.0014449934227758108,0.0001579557876892708,1.0,19.484200005535968,0
20260630,10.0,2,8,complex_parafac_als_10_sweeps,-43.96344146340364,0.0015629655524328485,0.0020152845699855956,0.0022920650686486972,0.00014541068156054675,1.0,34.130300002289005,0
20260630,10.0,2,9,complex_parafac_als_10_sweeps,-47.33239027170056,0.0013983223254316337,0.0010958163340424884,0.0012262518234201717,7.923680063779441e-05,1.0,27.99590000358876,0
20260630,10.0,2,10,complex_parafac_als_10_sweeps,-45.719030043551626,0.0027464492996730925,0.0003615831755070846,0.0010784777667751425,4.5901562786120135e-05,1.0,27.916699997149408,0
20260630,10.0,2,11,complex_parafac_als_10_sweeps,-42.46147165622829,0.0038161697739998867,0.0006600062720128971,0.001867943524310645,7.744606938056278e-05,1.0,24.62500000547152,0
20260630,10.0,2,12,complex_parafac_als_10_sweeps,-27.39918949144495,0.020870105446479624,0.0007298171467709996,0.009510986068815284,0.00034205829410881663,1.0,19.57060000859201,0
20260630,10.0,2,13,complex_parafac_als_10_sweeps,-10.911843310528486,0.07922433434728895,0.06797373581355538,0.14038844376031823,0.006138291631283087,1.0,26.236199992126785,0
20260630,10.0,2,14,complex_parafac_als_10_sweeps,-44.686237200956825,0.0011305573379688178,0.002294927237446586,0.0016968919684319562,0.00015317630341651285,1.0,23.90640000521671,0
20260630,10.0,2,15,complex_parafac_als_10_sweeps,-42.40476589037486,0.006211911787735759,0.001824011382621612,0.0036226173932045777,0.00016783073509207773,1.0,23.036600003251806,0
20260630,10.0,2,16,complex_parafac_als_10_sweeps,-42.275701452535095,0.003134532649403801,0.00019381752645726658,0.0028802713794861003,9.406356460605471e-05,1.0,22.955299995373935,0
20260630,10.0,2,17,complex_parafac_als_10_sweeps,-46.868014599773716,0.0017997479846362202,0.0010695493803287814,0.0017821805747867017,8.813582828812359e-05,1.0,28.32509999279864,0
20260630,10.0,2,18,complex_parafac_als_10_sweeps,-42.37562391058922,0.0035805367676756943,0.0005606982336578114,0.00127875354848157,6.0061865047734046e-05,1.0,21.148899992113,0
20260630,10.0,2,19,complex_parafac_als_10_sweeps,-5.001450955447427,2.104598182375309,1.332464902269068,4.277993127779641,0.15836046391699524,0.5,21.321300009731203,0
20260630,10.0,4,0,complex_parafac_als_10_sweeps,-1.9239475095332184,14.33566007402055,2.1918236934499484,7.21041816148178,0.2864978139504829,0.5,28.178100008517504,0
20260630,10.0,4,1,complex_parafac_als_10_sweeps,-2.0331104420272124,19.76105351261438,2.5768729970595166,5.063744934397886,0.2735201888866303,0.0,38.14750000310596,0
20260630,10.0,4,2,complex_parafac_als_10_sweeps,-0.5050345190734766,24.950650183751282,1.6348767240562307,7.176600123106023,0.31421919439209656,0.25,34.039900012430735,0
20260630,10.0,4,3,complex_parafac_als_10_sweeps,-4.981868249508873,4.509876863694125,0.7800768928288695,0.010188173728717382,0.0601541839469992,0.5,32.93650000705384,0
20260630,10.0,4,4,complex_parafac_als_10_sweeps,-3.6771138815984443,11.23601732837215,1.6351975327790826,3.6701511759171646,0.17693130419165445,0.25,33.07100001256913,0
20260630,10.0,4,5,complex_parafac_als_10_sweeps,-3.6898771989373325,4.372365167400465,3.5950562717553827,5.043070108530141,0.27656713110568104,0.5,35.23249999852851,0
20260630,10.0,4,6,complex_parafac_als_10_sweeps,-0.5343301735391207,11.184916734321124,1.4573410925409174,2.0382344062747633,0.14138222994216645,0.25,36.11040000396315,0
